DATE,CITY,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018/10/1,tianjin,45,13,36,5,0.5,36,84
2018/10/2,tianjin,55,15,41,5,0.5,44,84
2018/10/3,tianjin,75,30,67,9,0.9,60,95
2018/10/4,tianjin,114,49,78,18,1.2,49,175
2018/10/5,tianjin,110,51,74,15,1,51,170
2018/10/6,tianjin,51,20,51,6,0.5,33,62
2018/10/7,tianjin,65,23,63,8,0.7,52,79
2018/10/8,tianjin,78,35,74,11,0.9,62,78
2018/10/9,tianjin,34,6,34,5,0.5,21,56
2018/10/10,tianjin,45,13,37,6,0.5,36,52
2018/10/11,tianjin,52,14,38,6,0.5,41,62
2018/10/12,tianjin,80,49,78,13,1.2,64,94
2018/10/13,tianjin,117,88,126,20,1.2,69,119
2018/10/14,tianjin,115,88,118,15,1,73,105
2018/10/15,tianjin,119,90,111,15,1.2,68,103
2018/10/16,tianjin,69,50,50,10,1.7,48,63
2018/10/17,tianjin,74,37,65,22,1.7,59,53
2018/10/18,tianjin,82,41,69,18,1.4,65,69
2018/10/19,tianjin,84,56,80,16,1.2,67,115
2018/10/20,tianjin,109,82,92,20,1.4,72,121
2018/10/21,tianjin,138,105,116,20,1.4,79,63
2018/10/22,tianjin,120,91,117,14,1.2,54,80
2018/10/23,tianjin,56,23,62,8,0.6,44,67
2018/10/24,tianjin,93,66,120,20,1.2,74,60
2018/10/25,tianjin,142,108,142,19,1.5,80,82
2018/10/26,tianjin,54,9,57,5,0.5,24,56
2018/10/27,tianjin,55,19,50,9,0.6,44,61
2018/10/28,tianjin,46,13,46,7,0.5,30,66
2018/10/29,tianjin,53,13,43,7,0.6,42,60
2018/10/30,tianjin,68,26,61,9,0.9,54,58
2018/10/31,tianjin,84,40,74,15,1.2,67,56
2018/10/1,chengdu,47,16,26,6,0.7,37,44
2018/10/2,chengdu,52,18,34,7,0.7,41,26
2018/10/3,chengdu,39,16,26,6,0.5,31,56
2018/10/4,chengdu,48,24,39,7,0.6,38,63
2018/10/5,chengdu,62,44,63,7,0.7,42,70
2018/10/6,chengdu,84,62,82,7,0.9,43,69
2018/10/7,chengdu,42,26,36,7,0.6,33,54
2018/10/8,chengdu,47,24,33,6,0.6,37,79
2018/10/9,chengdu,54,17,31,7,0.6,43,67
2018/10/10,chengdu,48,17,44,8,0.5,37,95
2018/10/11,chengdu,84,59,103,10,0.9,67,41
2018/10/12,chengdu,94,70,105,8,0.9,51,39
2018/10/13,chengdu,59,42,53,6,0.6,28,62
2018/10/14,chengdu,54,38,50,7,0.7,37,66
2018/10/15,chengdu,57,36,52,7,0.7,45,85
2018/10/16,chengdu,73,53,73,8,0.9,53,45
2018/10/17,chengdu,85,64,92,8,1,53,30
2018/10/18,chengdu,49,34,43,6,0.7,33,33
2018/10/19,chengdu,35,19,24,6,0.6,28,45
2018/10/20,chengdu,35,17,24,6,0.7,28,45
2018/10/21,chengdu,39,20,29,7,0.7,31,71
2018/10/22,chengdu,73,53,75,8,1,54,18
2018/10/23,chengdu,59,34,55,8,0.9,47,62
2018/10/24,chengdu,60,42,69,8,0.7,42,18
2018/10/25,chengdu,58,38,64,9,1,46,76
2018/10/26,chengdu,90,56,106,12,1.4,72,55
2018/10/27,chengdu,97,72,121,14,1.2,59,45
2018/10/28,chengdu,89,66,107,8,1,51,93
2018/10/29,chengdu,142,108,154,10,1.2,68,52
2018/10/30,chengdu,97,72,106,10,1,52,62
2018/10/31,chengdu,70,46,78,10,1,56,83
